id,name,score1,score2
139,Student_139,50,58
140,Student_140,75,88
141,Student_141,76,60
142,Student_142,91,79
143,Student_143,75,64
144,Student_144,53,75
145,Student_145,96,93
146,Student_146,77,61
147,Student_147,52,79
148,Student_148,65,86
149,Student_149,68,93
150,Student_150,70,86
151,Student_151,56,84
152,Student_152,87,81
153,Student_153,89,100
154,Student_154,66,64
155,Student_155,99,75
156,Student_156,94,75
157,Student_157,55,91
158,Student_158,58,52
159,Student_159,71,81
160,Student_160,85,82
161,Student_161,73,74
162,Student_162,61,91
163,Student_163,93,70
164,Student_164,70,58
165,Student_165,84,91
166,Student_166,95,72
167,Student_167,77,82
168,Student_168,59,78
169,Student_169,71,83
170,Student_170,74,63
171,Student_171,86,81
172,Student_172,93,70
173,Student_173,57,74
174,Student_174,59,67
175,Student_175,69,59
176,Student_176,76,71
177,Student_177,94,93
178,Student_178,85,71
179,Student_179,93,59
180,Student_180,77,53
181,Student_181,51,86
182,Student_182,88,87
183,Student_183,50,75
184,Student_184,77,74
185,Student_185,68,72
186,Student_186,58,67
187,Student_187,69,64
188,Student_188,89,63
189,Student_189,87,93
190,Student_190,63,56
191,Student_191,59,79
192,Student_192,61,86
193,Student_193,70,77
194,Student_194,78,63
195,Student_195,67,62
196,Student_196,55,70
197,Student_197,91,53
198,Student_198,66,80
199,Student_199,58,82
200,Student_200,76,81
201,Student_201,54,86
202,Student_202,92,70
203,Student_203,60,96
204,Student_204,68,97
205,Student_205,55,80
206,Student_206,98,80
207,Student_207,75,56
208,Student_208,54,96
209,Student_209,70,84
210,Student_210,63,89
211,Student_211,100,59
212,Student_212,87,60
213,Student_213,84,66
214,Student_214,55,94
215,Student_215,50,60
216,Student_216,85,53
217,Student_217,56,86
218,Student_218,60,67
219,Student_219,55,69
220,Student_220,65,73
221,Student_221,89,56
222,Student_222,69,96
223,Student_223,52,90
224,Student_224,99,78
225,Student_225,95,96
226,Student_226,75,60
227,Student_227,93,84
228,Student_228,76,73
229,Student_229,86,61
230,Student_230,75,92
231,Student_231,95,100
232,Student_232,94,57
233,Student_233,99,73
234,Student_234,90,62
235,Student_235,91,87
236,Student_236,56,81
237,Student_237,88,82
238,Student_238,54,76
239,Student_239,87,68
240,Student_240,52,98
241,Student_241,65,56
242,Student_242,53,56
243,Student_243,89,99
244,Student_244,55,68
245,Student_245,99,58
246,Student_246,61,51
247,Student_247,56,90
248,Student_248,75,82
249,Student_249,79,52
250,Student_250,92,68
251,Student_251,59,56
252,Student_252,74,65
253,Student_253,77,64
254,Student_254,82,62
255,Student_255,50,63
256,Student_256,97,87
257,Student_257,78,79
258,Student_258,57,99
259,Student_259,72,99
260,Student_260,60,74
261,Student_261,71,87
262,Student_262,51,98
263,Student_263,60,57
264,Student_264,93,86
265,Student_265,52,79
266,Student_266,55,57
267,Student_267,56,60
268,Student_268,98,68
269,Student_269,100,76
270,Student_270,75,86
271,Student_271,62,95
272,Student_272,74,58
273,Student_273,89,70
274,Student_274,85,73
275,Student_275,52,69
276,Student_276,81,82
277,Student_277,63,74
278,Student_278,99,73
279,Student_279,82,86
280,Student_280,71,92
281,Student_281,75,66
282,Student_282,63,58
283,Student_283,100,60
284,Student_284,96,95
285,Student_285,64,65
286,Student_286,92,79
287,Student_287,76,50
288,Student_288,72,81
289,Student_289,74,88
290,Student_290,56,81
291,Student_291,60,99
292,Student_292,57,64
293,Student_293,58,97
294,Student_294,97,87
295,Student_295,88,52
296,Student_296,80,53
297,Student_297,62,56
298,Student_298,67,67
299,Student_299,62,71
300,Student_300,90,52
301,Student_301,76,99
302,Student_302,50,79
303,Student_303,80,50
304,Student_304,78,64
305,Student_305,76,58
306,Student_306,97,56
307,Student_307,96,60
308,Student_308,85,92
309,Student_309,91,63
310,Student_310,99,62
311,Student_311,92,60
312,Student_312,94,84
313,Student_313,51,66
314,Student_314,58,65
315,Student_315,62,71
316,Student_316,97,87
317,Student_317,59,61
318,Student_318,66,72
319,Student_319,53,58
320,Student_320,53,68
321,Student_321,70,52
322,Student_322,51,96
323,Student_323,54,50
324,Student_324,67,67
325,Student_325,79,82
326,Student_326,86,70
327,Student_327,95,96
328,Student_328,95,88
329,Student_329,69,76
330,Student_330,70,65
331,Student_331,62,71
332,Student_332,61,77
333,Student_333,52,56
334,Student_334,95,96
335,Student_335,74,100
336,Student_336,81,56
337,Student_337,65,88
338,Student_338,77,52
339,Student_339,73,80
340,Student_340,67,70
341,Student_341,81,100
342,Student_342,72,100
343,Student_343,73,59
344,Student_344,74,66
345,Student_345,98,89
346,Student_346,68,64
347,Student_347,82,67
348,Student_348,78,100
349,Student_349,98,84
350,Student_350,55,93
351,Student_351,64,85
352,Student_352,82,52
353,Student_353,82,88
354,Student_354,98,92
355,Student_355,86,72
356,Student_356,70,53
357,Student_357,59,88
358,Student_358,65,97
359,Student_359,76,61
360,Student_360,55,77
361,Student_361,58,83
362,Student_362,74,82
363,Student_363,85,98
364,Student_364,74,92
365,Student_365,70,82
366,Student_366,97,60
367,Student_367,59,55
368,Student_368,79,50
369,Student_369,60,95
370,Student_370,99,87
371,Student_371,100,59
372,Student_372,53,75
373,Student_373,76,84
374,Student_374,73,75
375,Student_375,95,93
376,Student_376,71,76
377,Student_377,100,54
378,Student_378,70,71
379,Student_379,84,51
380,Student_380,89,82
381,Student_381,79,85
382,Student_382,59,71
383,Student_383,94,91
384,Student_384,94,91
385,Student_385,59,78
386,Student_386,75,100
387,Student_387,57,72
388,Student_388,72,78
389,Student_389,84,87
390,Student_390,59,78
391,Student_391,97,83
392,Student_392,85,53
393,Student_393,100,58
394,Student_394,55,68
395,Student_395,77,63
396,Student_396,65,56
397,Student_397,80,80
398,Student_398,86,79
399,Student_399,92,92
400,Student_400,63,83
401,Student_401,91,97
402,Student_402,68,62
403,Student_403,81,84
404,Student_404,78,69
405,Student_405,63,59
406,Student_406,76,86
407,Student_407,66,80
408,Student_408,69,74
409,Student_409,69,96
410,Student_410,93,95
411,Student_411,70,95
412,Student_412,71,78
413,Student_413,77,73
414,Student_414,90,66
415,Student_415,73,72
416,Student_416,68,71
417,Student_417,74,76
418,Student_418,83,78
419,Student_419,63,85
420,Student_420,60,95
421,Student_421,97,59
422,Student_422,71,56
423,Student_423,79,75
424,Student_424,88,79
425,Student_425,60,64
426,Student_426,54,69
427,Student_427,92,54
428,Student_428,68,52
429,Student_429,58,59
430,Student_430,66,100
431,Student_431,91,67
432,Student_432,55,91
433,Student_433,85,98
434,Student_434,76,74
435,Student_435,51,69
436,Student_436,94,72
437,Student_437,64,52
438,Student_438,66,70
439,Student_439,54,64
440,Student_440,88,65
441,Student_441,91,52
442,Student_442,77,62
443,Student_443,84,59
444,Student_444,91,64
445,Student_445,85,86
446,Student_446,56,62
447,Student_447,55,100
448,Student_448,56,91
449,Student_449,81,51
450,Student_450,71,69
451,Student_451,52,75
452,Student_452,64,67
453,Student_453,81,88
454,Student_454,93,52
455,Student_455,65,68
456,Student_456,88,94
457,Student_457,80,73
458,Student_458,97,62
459,Student_459,58,61
460,Student_460,86,74
461,Student_461,84,71
462,Student_462,81,86
463,Student_463,68,68
464,Student_464,62,87
465,Student_465,91,78
466,Student_466,99,62
467,Student_467,86,62
468,Student_468,100,90
469,Student_469,80,82
470,Student_470,61,82
471,Student_471,58,91
472,Student_472,56,60
473,Student_473,76,80
474,Student_474,57,56
475,Student_475,69,57
476,Student_476,57,79
477,Student_477,50,50
478,Student_478,94,83
479,Student_479,72,60
480,Student_480,73,99
481,Student_481,66,51
482,Student_482,97,100
483,Student_483,63,59
484,Student_484,89,77
485,Student_485,65,83
486,Student_486,79,85
487,Student_487,88,69
488,Student_488,75,56
489,Student_489,70,66
490,Student_490,66,80
491,Student_491,56,65
492,Student_492,57,91
493,Student_493,93,63
494,Student_494,70,94
495,Student_495,63,91
496,Student_496,67,91
497,Student_497,50,95
498,Student_498,59,67
499,Student_499,78,52
500,Student_500,57,64
501,Student_501,87,93
502,Student_502,91,79
503,Student_503,81,98
504,Student_504,97,51
505,Student_505,55,58
506,Student_506,99,66
507,Student_507,59,70
508,Student_508,75,53
509,Student_509,72,86
510,Student_510,86,67
511,Student_511,54,65
512,Student_512,85,56
513,Student_513,97,80
514,Student_514,69,61
515,Student_515,88,63
516,Student_516,60,98
517,Student_517,80,96
518,Student_518,96,89
519,Student_519,84,71
520,Student_520,77,67
521,Student_521,88,53
522,Student_522,92,67
523,Student_523,76,82
524,Student_524,82,73
525,Student_525,85,65
526,Student_526,53,98
527,Student_527,55,70
528,Student_528,90,77
529,Student_529,96,90
530,Student_530,54,92
531,Student_531,72,100
532,Student_532,84,59
533,Student_533,84,72
534,Student_534,68,51
535,Student_535,95,50
536,Student_536,51,56
537,Student_537,73,94
538,Student_538,68,89
539,Student_539,53,69
540,Student_540,63,76
541,Student_541,96,95
542,Student_542,93,89
543,Student_543,71,96
544,Student_544,92,88
545,Student_545,62,76
546,Student_546,97,92
547,Student_547,63,88
548,Student_548,59,54
549,Student_549,89,85
550,Student_550,78,69
551,Student_551,78,54
552,Student_552,91,53
553,Student_553,52,88
554,Student_554,66,75
555,Student_555,73,75
556,Student_556,58,65
557,Student_557,52,52
558,Student_558,51,83
559,Student_559,85,87
560,Student_560,93,84
561,Student_561,72,57
562,Student_562,62,69
563,Student_563,94,91
564,Student_564,66,55
565,Student_565,79,94
566,Student_566,55,87
567,Student_567,67,61
568,Student_568,87,59
569,Student_569,92,100
570,Student_570,52,50
571,Student_571,57,80
572,Student_572,62,84
573,Student_573,60,70
574,Student_574,100,58
575,Student_575,58,54
576,Student_576,96,85
577,Student_577,67,53
578,Student_578,57,66
579,Student_579,87,90
580,Student_580,55,51
581,Student_581,53,95
582,Student_582,70,96
583,Student_583,74,64
584,Student_584,67,81
585,Student_585,87,69
586,Student_586,70,51
587,Student_587,81,61
588,Student_588,61,82
589,Student_589,51,80
590,Student_590,93,98
591,Student_591,59,75
592,Student_592,72,67
593,Student_593,86,54
594,Student_594,68,92
595,Student_595,73,95
596,Student_596,82,74
597,Student_597,64,82
598,Student_598,77,64
599,Student_599,72,60
600,Student_600,76,84
601,Student_601,53,68
602,Student_602,55,90
603,Student_603,66,98
604,Student_604,96,65
605,Student_605,98,55
606,Student_606,56,89
607,Student_607,76,87
608,Student_608,62,90
609,Student_609,64,52
610,Student_610,52,63
611,Student_611,75,97
612,Student_612,57,98
613,Student_613,81,93
614,Student_614,75,78
615,Student_615,92,81
616,Student_616,97,74
617,Student_617,57,79
618,Student_618,79,99
619,Student_619,53,86
620,Student_620,58,81
621,Student_621,88,82
622,Student_622,80,52
623,Student_623,66,89
624,Student_624,97,54
625,Student_625,88,85
626,Student_626,70,99
627,Student_627,93,89
628,Student_628,78,66
629,Student_629,52,65
630,Student_630,97,85
631,Student_631,77,72
632,Student_632,54,63
633,Student_633,50,52
634,Student_634,100,97
635,Student_635,60,60
636,Student_636,51,82
637,Student_637,79,83
638,Student_638,66,85
639,Student_639,87,79
640,Student_640,64,90
641,Student_641,88,63
642,Student_642,63,83
643,Student_643,71,70
644,Student_644,52,64
645,Student_645,90,88
646,Student_646,58,54
647,Student_647,56,67
648,Student_648,79,55
649,Student_649,70,51
650,Student_650,95,95
651,Student_651,56,52
652,Student_652,81,60
653,Student_653,76,58
654,Student_654,51,50
655,Student_655,83,61
656,Student_656,95,63
657,Student_657,50,66
658,Student_658,74,92
659,Student_659,81,91
660,Student_660,66,50
661,Student_661,55,84
662,Student_662,84,71
663,Student_663,100,74
664,Student_664,86,65
665,Student_665,95,78
666,Student_666,96,74
667,Student_667,64,57
668,Student_668,52,55
669,Student_669,93,86
670,Student_670,57,90
671,Student_671,93,52
672,Student_672,92,92
673,Student_673,99,85
674,Student_674,70,92
675,Student_675,84,77
676,Student_676,97,70
677,Student_677,75,81
678,Student_678,87,50
679,Student_679,59,70
680,Student_680,98,86
681,Student_681,91,91
682,Student_682,61,71
683,Student_683,78,100
684,Student_684,73,55
685,Student_685,97,78
686,Student_686,93,78
687,Student_687,65,100
688,Student_688,70,95
689,Student_689,50,78
690,Student_690,91,62
691,Student_691,75,55
692,Student_692,96,86
693,Student_693,59,62
694,Student_694,94,70
695,Student_695,89,78
696,Student_696,98,90
697,Student_697,94,50
698,Student_698,56,52
699,Student_699,92,82
700,Student_700,76,51
701,Student_701,72,66
702,Student_702,89,93
703,Student_703,69,62
704,Student_704,90,62
705,Student_705,63,90
706,Student_706,63,82
707,Student_707,52,70
708,Student_708,68,81
709,Student_709,82,77
710,Student_710,61,72
711,Student_711,81,52
712,Student_712,71,65
713,Student_713,90,64
714,Student_714,69,89
715,Student_715,100,61
716,Student_716,79,81
717,Student_717,71,62
718,Student_718,73,62
719,Student_719,91,85
720,Student_720,68,58
721,Student_721,93,78
722,Student_722,54,69
723,Student_723,98,52
724,Student_724,68,61
725,Student_725,69,87
726,Student_726,83,71
727,Student_727,65,61
728,Student_728,86,81
729,Student_729,99,86
730,Student_730,56,57
731,Student_731,74,59
732,Student_732,66,60
733,Student_733,56,80
734,Student_734,69,61
735,Student_735,65,85
736,Student_736,90,71
737,Student_737,85,73
738,Student_738,50,65
739,Student_739,67,53
740,Student_740,68,84
741,Student_741,84,91
742,Student_742,93,98
743,Student_743,52,57
744,Student_744,52,92
745,Student_745,86,61
746,Student_746,57,59
747,Student_747,92,92
748,Student_748,93,66
749,Student_749,71,78
750,Student_750,94,95
751,Student_751,71,91
752,Student_752,98,71
753,Student_753,60,80
754,Student_754,83,57
755,Student_755,77,53
756,Student_756,76,58
757,Student_757,81,53
758,Student_758,77,54
759,Student_759,96,60
760,Student_760,82,54
761,Student_761,83,75
762,Student_762,56,61
763,Student_763,76,70
764,Student_764,85,84
765,Student_765,81,83
766,Student_766,74,92
767,Student_767,73,88
768,Student_768,91,91
769,Student_769,53,74
770,Student_770,56,97
771,Student_771,69,74
772,Student_772,53,79
773,Student_773,63,84
774,Student_774,88,57
775,Student_775,89,55
776,Student_776,82,96
777,Student_777,71,69
778,Student_778,64,53
779,Student_779,63,91
780,Student_780,57,96
781,Student_781,57,79
782,Student_782,78,51
783,Student_783,75,56
784,Student_784,75,50
785,Student_785,89,89
786,Student_786,72,76
787,Student_787,67,89
788,Student_788,79,72
789,Student_789,54,95
790,Student_790,83,50
791,Student_791,60,55
792,Student_792,98,50
793,Student_793,94,90
794,Student_794,52,98
795,Student_795,50,85
796,Student_796,55,72
797,Student_797,98,92
798,Student_798,67,70
799,Student_799,91,69
800,Student_800,83,79
801,Student_801,64,98
802,Student_802,82,92
803,Student_803,54,60
804,Student_804,99,69
805,Student_805,71,85
806,Student_806,91,84
807,Student_807,65,58
808,Student_808,88,82
809,Student_809,51,79
810,Student_810,80,77
811,Student_811,96,92
812,Student_812,96,99
813,Student_813,56,56
814,Student_814,96,72
815,Student_815,89,60
816,Student_816,82,88
817,Student_817,85,93
818,Student_818,70,98
819,Student_819,99,76
820,Student_820,96,67
821,Student_821,63,99
822,Student_822,79,60
823,Student_823,51,59
824,Student_824,72,57
825,Student_825,60,96
826,Student_826,79,95
827,Student_827,84,93
828,Student_828,53,74
829,Student_829,73,79
830,Student_830,73,79
831,Student_831,52,88
832,Student_832,51,96
833,Student_833,51,76
834,Student_834,99,65
835,Student_835,82,74
836,Student_836,62,95
837,Student_837,91,93
838,Student_838,83,79
839,Student_839,86,73
840,Student_840,65,99
841,Student_841,80,59
842,Student_842,72,79
843,Student_843,85,54
844,Student_844,77,72
845,Student_845,83,88
846,Student_846,68,68
847,Student_847,69,69
848,Student_848,68,95
849,Student_849,68,54
850,Student_850,50,88
851,Student_851,62,53
852,Student_852,64,97
853,Student_853,87,90
854,Student_854,62,73
855,Student_855,51,83
856,Student_856,66,85
857,Student_857,92,53
858,Student_858,97,84
859,Student_859,81,50
860,Student_860,88,72
861,Student_861,88,65
862,Student_862,97,97
863,Student_863,100,85
864,Student_864,88,55
865,Student_865,100,66
866,Student_866,58,52
867,Student_867,98,67
868,Student_868,78,66
869,Student_869,58,83
870,Student_870,55,99
871,Student_871,50,64
872,Student_872,73,62
873,Student_873,95,93
874,Student_874,93,85
875,Student_875,85,95
876,Student_876,64,66
877,Student_877,93,61
878,Student_878,87,90
879,Student_879,58,81
880,Student_880,54,76
881,Student_881,61,96
882,Student_882,52,62
883,Student_883,73,63
884,Student_884,98,96
885,Student_885,71,94
886,Student_886,65,86
887,Student_887,78,69
888,Student_888,75,81
889,Student_889,65,96
890,Student_890,54,94
891,Student_891,60,73
892,Student_892,85,78
893,Student_893,54,62
894,Student_894,72,82
895,Student_895,69,57
896,Student_896,67,54
897,Student_897,75,79
898,Student_898,87,58
899,Student_899,57,80
900,Student_900,81,95
901,Student_901,80,54
902,Student_902,88,63
903,Student_903,78,58
904,Student_904,95,74
905,Student_905,62,65
906,Student_906,60,70
907,Student_907,51,68
908,Student_908,97,92
909,Student_909,76,89
910,Student_910,91,75
911,Student_911,77,54
912,Student_912,59,80
913,Student_913,63,96
914,Student_914,81,96
915,Student_915,75,53
916,Student_916,59,61
917,Student_917,85,58
918,Student_918,93,72
919,Student_919,71,67
920,Student_920,60,98
921,Student_921,77,66
922,Student_922,83,50
923,Student_923,81,81
924,Student_924,91,96
925,Student_925,56,59
926,Student_926,96,89
927,Student_927,53,75
928,Student_928,64,99
929,Student_929,54,87
930,Student_930,56,82
931,Student_931,61,70
932,Student_932,51,70
933,Student_933,61,59
934,Student_934,59,93
935,Student_935,56,62
936,Student_936,55,54
937,Student_937,78,51
938,Student_938,93,100
939,Student_939,78,53
940,Student_940,89,93
941,Student_941,65,85
942,Student_942,69,83
943,Student_943,58,52
944,Student_944,96,50
945,Student_945,86,75
946,Student_946,82,89
947,Student_947,64,80
948,Student_948,53,85
949,Student_949,89,75
950,Student_950,97,62
951,Student_951,76,60
952,Student_952,59,92
953,Student_953,54,62
954,Student_954,55,71
955,Student_955,73,81
956,Student_956,92,97
957,Student_957,53,81
958,Student_958,100,75
959,Student_959,80,52
960,Student_960,80,62
961,Student_961,99,58
962,Student_962,72,63
963,Student_963,97,62
964,Student_964,95,52
965,Student_965,95,93
966,Student_966,70,100
967,Student_967,89,57
968,Student_968,66,69
969,Student_969,75,96
970,Student_970,59,69
971,Student_971,80,99
972,Student_972,80,72
973,Student_973,70,55
974,Student_974,71,68
975,Student_975,88,84
976,Student_976,79,77
977,Student_977,85,87
978,Student_978,97,73
979,Student_979,86,63
980,Student_980,52,80
981,Student_981,86,95
982,Student_982,91,57
983,Student_983,57,87
984,Student_984,96,63
985,Student_985,52,79
986,Student_986,89,82
987,Student_987,76,93
988,Student_988,84,88
989,Student_989,50,73
990,Student_990,81,99
991,Student_991,88,76
992,Student_992,85,54
993,Student_993,56,78
994,Student_994,82,94
995,Student_995,71,61
996,Student_996,72,86
997,Student_997,54,70
998,Student_998,99,56
999,Student_999,98,86
1000,Student_1000,90,66
1001,Student_1001,98,59
1002,Student_1002,90,89
1003,Student_1003,83,97
1004,Student_1004,63,82
1005,Student_1005,82,51
1006,Student_1006,96,72
1007,Student_1007,87,53
1008,Student_1008,80,65
1009,Student_1009,55,50
1010,Student_1010,98,81
1011,Student_1011,64,85
1012,Student_1012,80,100
1013,Student_1013,61,65
1014,Student_1014,72,64
1015,Student_1015,74,90
1016,Student_1016,61,55
1017,Student_1017,99,66
1018,Student_1018,55,100
1019,Student_1019,76,89
1020,Student_1020,78,73
1021,Student_1021,95,74
1022,Student_1022,60,75
1023,Student_1023,90,58
1024,Student_1024,93,58
1025,Student_1025,78,89
1026,Student_1026,77,93
1027,Student_1027,63,60
1028,Student_1028,92,71
1029,Student_1029,73,55
1030,Student_1030,70,100
1031,Student_1031,51,85
1032,Student_1032,71,63
1033,Student_1033,53,76
1034,Student_1034,62,88
1035,Student_1035,70,93
1036,Student_1036,66,62
1037,Student_1037,94,68
1038,Student_1038,81,65
1039,Student_1039,76,55
1040,Student_1040,74,64
1041,Student_1041,84,54
1042,Student_1042,75,66
1043,Student_1043,78,89
1044,Student_1044,63,83
1045,Student_1045,57,76
1046,Student_1046,98,60
1047,Student_1047,94,77
1048,Student_1048,83,58
1049,Student_1049,62,62
1050,Student_1050,96,61
1051,Student_1051,92,63
1052,Student_1052,63,60
1053,Student_1053,63,94
1054,Student_1054,77,67
1055,Student_1055,87,53
1056,Student_1056,97,86
1057,Student_1057,54,57
1058,Student_1058,55,67
1059,Student_1059,86,51
1060,Student_1060,51,96
1061,Student_1061,90,82
1062,Student_1062,91,57
1063,Student_1063,55,66
1064,Student_1064,85,70
1065,Student_1065,55,89
1066,Student_1066,58,54
1067,Student_1067,95,80
1068,Student_1068,97,98
1069,Student_1069,92,59
1070,Student_1070,72,55
1071,Student_1071,51,85
1072,Student_1072,97,95
1073,Student_1073,58,70
1074,Student_1074,67,88
1075,Student_1075,80,70
1076,Student_1076,68,96
1077,Student_1077,77,74
1078,Student_1078,51,54
1079,Student_1079,81,51
1080,Student_1080,51,65
1081,Student_1081,89,75
1082,Student_1082,53,69
1083,Student_1083,82,96
1084,Student_1084,99,64
1085,Student_1085,86,53
1086,Student_1086,73,81
1087,Student_1087,76,61
1088,Student_1088,52,85
1089,Student_1089,91,85
1090,Student_1090,58,94
1091,Student_1091,87,87
1092,Student_1092,89,63
1093,Student_1093,77,98
1094,Student_1094,53,79
1095,Student_1095,66,58
1096,Student_1096,77,75
1097,Student_1097,94,54
1098,Student_1098,94,66
1099,Student_1099,92,65
1100,Student_1100,52,53
1101,Student_1101,65,71
1102,Student_1102,50,58
1103,Student_1103,81,88
1104,Student_1104,98,83
1105,Student_1105,51,78
1106,Student_1106,84,57
1107,Student_1107,71,66
1108,Student_1108,100,86
1109,Student_1109,69,92
1110,Student_1110,61,76
1111,Student_1111,90,84
1112,Student_1112,68,66
1113,Student_1113,58,94
1114,Student_1114,76,96
1115,Student_1115,80,66
1116,Student_1116,93,85
1117,Student_1117,54,76
1118,Student_1118,73,98
1119,Student_1119,96,67
1120,Student_1120,93,79
1121,Student_1121,72,80
1122,Student_1122,78,77
1123,Student_1123,69,88
1124,Student_1124,88,70
1125,Student_1125,55,56
1126,Student_1126,100,88
1127,Student_1127,93,62
1128,Student_1128,56,73
1129,Student_1129,56,58
1130,Student_1130,53,95
1131,Student_1131,89,98
1132,Student_1132,70,54
1133,Student_1133,77,59
1134,Student_1134,75,87
1135,Student_1135,80,68
1136,Student_1136,69,68
1137,Student_1137,96,52
1138,Student_1138,59,68
1139,Student_1139,64,73
1140,Student_1140,66,94
1141,Student_1141,90,57
1142,Student_1142,72,54
1143,Student_1143,85,76
1144,Student_1144,73,68
1145,Student_1145,52,97
1146,Student_1146,99,98
1147,Student_1147,53,76
1148,Student_1148,82,95
1149,Student_1149,65,64
1150,Student_1150,61,75
1151,Student_1151,85,68
1152,Student_1152,100,92
1153,Student_1153,60,67
1154,Student_1154,69,76
1155,Student_1155,89,67
1156,Student_1156,74,66
1157,Student_1157,62,79
1158,Student_1158,53,79
1159,Student_1159,54,70
1160,Student_1160,96,69
1161,Student_1161,74,54
1162,Student_1162,79,59
1163,Student_1163,60,78
1164,Student_1164,93,85
1165,Student_1165,67,81
1166,Student_1166,75,82
1167,Student_1167,59,65
1168,Student_1168,80,54
1169,Student_1169,60,52
1170,Student_1170,80,93
1171,Student_1171,64,88
1172,Student_1172,78,76
1173,Student_1173,86,82
1174,Student_1174,64,79
1175,Student_1175,96,69
1176,Student_1176,58,96
1177,Student_1177,77,66
1178,Student_1178,94,90
1179,Student_1179,76,69
1180,Student_1180,50,64
1181,Student_1181,88,78
1182,Student_1182,85,54
1183,Student_1183,54,90
1184,Student_1184,79,98
1185,Student_1185,67,69
1186,Student_1186,81,79
1187,Student_1187,65,66
1188,Student_1188,70,85
1189,Student_1189,96,50
1190,Student_1190,53,90
1191,Student_1191,99,53
1192,Student_1192,59,77
1193,Student_1193,50,57
1194,Student_1194,69,79
1195,Student_1195,59,64
1196,Student_1196,62,50
1197,Student_1197,83,67
1198,Student_1198,52,70
1199,Student_1199,84,70
1200,Student_1200,62,80
1201,Student_1201,58,61
1202,Student_1202,56,75
1203,Student_1203,80,72
1204,Student_1204,54,84
1205,Student_1205,91,74
1206,Student_1206,99,89
1207,Student_1207,51,68
1208,Student_1208,64,64
1209,Student_1209,67,71
1210,Student_1210,53,99
1211,Student_1211,95,90
1212,Student_1212,57,90
1213,Student_1213,79,81
1214,Student_1214,92,95
1215,Student_1215,51,90
1216,Student_1216,82,99
1217,Student_1217,100,51
1218,Student_1218,90,74
1219,Student_1219,63,63
1220,Student_1220,72,85
1221,Student_1221,89,92
1222,Student_1222,61,95
1223,Student_1223,56,52
1224,Student_1224,86,89
1225,Student_1225,72,83
1226,Student_1226,50,95
1227,Student_1227,93,97
1228,Student_1228,63,53
1229,Student_1229,84,88
